Id,Time,Machine,Component,Parameter,Value
45,2022-05-25T23:33:08Z,Asphalt_Paver_1,Fuel,Pressure,58.01395343
41,2022-05-26T08:10:33Z,Asphalt_Paver_1,Fuel,Level,5.907973041
27,2022-05-26T10:14:42Z,Asphalt_Paver_1,Drive,Brake Control,4.082266708
23,2022-05-26T11:21:14Z,Asphalt_Paver_1,Drive,Transmission Pressure,427.1327604
37,2022-05-26T13:46:18Z,Asphalt_Paver_1,Engine,Temparature,100.8300126
22,2022-05-26T20:33:43Z,Asphalt_Paver_1,Misc,Exhaust Gas Temparature,243.0497905
33,2022-05-27T00:58:30Z,Asphalt_Paver_1,Misc,System Voltage,14.40411838
11,2022-05-27T06:51:44Z,Asphalt_Paver_1,Engine,Oil Pressure,56.06390733
18,2022-05-27T08:54:27Z,Asphalt_Paver_1,Engine,Temparature,89.91490571
50,2022-05-27T16:53:38Z,Asphalt_Paver_1,Fuel,Water in Fuel,621.9966855
39,2022-05-27T20:33:12Z,Asphalt_Paver_1,Drive,Pedal Sensor,4.767345507
38,2022-05-28T17:54:20Z,Asphalt_Paver_1,Drive,Brake Control,9.94137209
5,2022-05-28T20:01:11Z,Asphalt_Paver_1,Misc,System Voltage,15.50011905
33,2022-05-29T02:05:09Z,Asphalt_Paver_1,Engine,Oil Pressure,57.98795578
9,2022-05-30T00:47:39Z,Asphalt_Paver_1,Engine,Oil Pressure,60.90671489
30,2022-05-30T06:13:49Z,Asphalt_Paver_1,Fuel,Level,9.063866016
41,2022-05-30T10:10:00Z,Asphalt_Paver_1,Engine,Speed,1597.010044
29,2022-05-30T10:18:49Z,Asphalt_Paver_1,Misc,System Voltage,15.94222611
20,2022-05-30T13:23:00Z,Asphalt_Paver_1,Drive,Brake Control,8.042119065
7,2022-05-30T13:25:59Z,Asphalt_Paver_1,Engine,Temparature,86.93378203
16,2022-05-30T18:37:35Z,Asphalt_Paver_1,Fuel,Pressure,55.79524657
20,2022-06-02T12:24:24Z,Asphalt_Paver_1,Misc,Air Filter Pressure,23.98383745
47,2022-06-02T12:46:49Z,Asphalt_Paver_1,Engine,Oil Pressure,35.04495699
2,2022-06-02T13:50:33Z,Asphalt_Paver_1,Fuel,Level,6.044656239
42,2022-06-02T16:47:26Z,Asphalt_Paver_1,Misc,Exhaust Gas Temparature,340.9833481
13,2022-06-03T00:22:59Z,Asphalt_Paver_1,Misc,System Voltage,12.99928571
6,2022-06-03T06:19:56Z,Asphalt_Paver_1,Engine,Oil Pressure,62.1470463
35,2022-06-03T11:08:54Z,Asphalt_Paver_1,Drive,Pedal Sensor,4.41674146
14,2022-06-03T12:54:34Z,Asphalt_Paver_1,Fuel,Level,4.000657523
32,2022-06-03T13:25:49Z,Asphalt_Paver_1,Engine,Speed,1726.049303
43,2022-06-04T02:31:02Z,Asphalt_Paver_1,Misc,Hydraulic Pump Rate,100.068017
28,2022-06-04T21:52:27Z,Asphalt_Paver_1,Engine,Oil Pressure,61.02081464
22,2022-06-05T08:51:53Z,Asphalt_Paver_1,Fuel,Level,7.062325082
26,2022-06-07T13:54:10Z,Asphalt_Paver_1,Engine,Temparature,74.83343079
17,2022-06-07T14:21:31Z,Asphalt_Paver_1,Drive,Brake Control,8.051886526
14,2022-06-07T14:42:16Z,Asphalt_Paver_1,Drive,Pedal Sensor,3.689756364
28,2022-06-07T15:25:41Z,Asphalt_Paver_1,Drive,Brake Control,2.853627033
49,2022-06-07T23:26:06Z,Asphalt_Paver_1,Misc,System Voltage,12.78598796
12,2022-06-08T09:05:27Z,Asphalt_Paver_1,Misc,Air Filter Pressure,33.969921
20,2022-06-08T19:17:04Z,Asphalt_Paver_1,Fuel,Pressure,65.03769099
49,2022-06-08T22:13:29Z,Asphalt_Paver_1,Drive,Brake Control,5.105218164
17,2022-06-08T22:40:49Z,Asphalt_Paver_1,Fuel,Water in Fuel,539.0383051
39,2022-06-09T07:11:43Z,Asphalt_Paver_1,Engine,Oil Pressure,49.93042382
30,2022-06-09T15:42:25Z,Asphalt_Paver_1,Drive,Transmission Pressure,270.0807035
32,2022-06-09T16:00:08Z,Asphalt_Paver_1,Drive,Transmission Pressure,205.969972
21,2022-06-10T07:46:38Z,Asphalt_Paver_1,Drive,Transmission Pressure,248.9778859
33,2022-06-10T11:21:26Z,Asphalt_Paver_1,Drive,Pedal Sensor,3.578699157
13,2022-06-10T12:18:52Z,Asphalt_Paver_1,Drive,Transmission Pressure,383.1051715
21,2022-06-10T12:26:28Z,Asphalt_Paver_1,Fuel,Water in Fuel,1160.841617
48,2022-06-10T12:47:22Z,Asphalt_Paver_1,Engine,Temparature,77.03866564
50,2022-06-10T15:20:57Z,Asphalt_Paver_1,Engine,Oil Pressure,51.13968237
39,2022-06-10T21:18:32Z,Asphalt_Paver_1,Misc,Hydraulic Pump Rate,124.1028116
6,2022-06-10T21:54:26Z,Asphalt_Paver_1,Misc,Exhaust Gas Temparature,323.0361615
10,2022-06-10T22:31:11Z,Asphalt_Paver_1,Fuel,Level,6.03224298
12,2022-06-11T05:41:29Z,Asphalt_Paver_1,Fuel,Pressure,41.97840419
47,2022-06-11T17:11:40Z,Asphalt_Paver_1,Fuel,Level,3.885365181
26,2022-06-12T04:25:48Z,Asphalt_Paver_1,Misc,Exhaust Gas Temparature,259.0280167
41,2022-06-12T07:23:07Z,Asphalt_Paver_1,Drive,Transmission Pressure,225.955216
24,2022-06-12T13:19:39Z,Asphalt_Paver_1,Engine,Temparature,104.976621
34,2022-06-12T13:55:32Z,Asphalt_Paver_1,Engine,Speed,1708.883079
23,2022-06-12T14:15:44Z,Asphalt_Paver_1,Misc,Hydraulic Pump Rate,87.94191666
43,2022-06-12T14:26:30Z,Asphalt_Paver_1,Drive,Transmission Pressure,293.0397927
1,2022-06-12T18:29:41Z,Asphalt_Paver_1,Fuel,Water in Fuel,1444.051517
23,2022-06-13T01:00:57Z,Asphalt_Paver_1,Engine,Speed,1621.972724
3,2022-06-13T10:39:44Z,Asphalt_Paver_1,Misc,Hydraulic Pump Rate,124.0411368
13,2022-06-13T14:28:05Z,Asphalt_Paver_1,Fuel,Water in Fuel,776.1668724
21,2022-06-14T03:43:47Z,Asphalt_Paver_1,Misc,System Voltage,13.0614402
17,2022-06-14T19:34:37Z,Asphalt_Paver_1,Misc,System Voltage,15.53468077
31,2022-06-15T05:05:30Z,Asphalt_Paver_1,Drive,Pedal Sensor,3.806908199
40,2022-06-15T18:26:13Z,Asphalt_Paver_1,Misc,Air Filter Pressure,22.9306607
49,2022-06-16T03:34:14Z,Asphalt_Paver_1,Engine,Speed,1484.231266
14,2022-06-16T19:12:43Z,Asphalt_Paver_1,Engine,Oil Pressure,48.90483102
22,2022-06-17T05:41:51Z,Asphalt_Paver_1,Drive,Pedal Sensor,4.374497334
33,2022-06-17T21:33:42Z,Asphalt_Paver_1,Fuel,Temparature,397.9689894
34,2022-06-17T22:12:14Z,Asphalt_Paver_1,Fuel,Pressure,65.12567393
10,2022-06-18T21:12:12Z,Asphalt_Paver_1,Misc,Exhaust Gas Temparature,338.0155231
32,2022-06-18T21:14:46Z,Asphalt_Paver_1,Fuel,Level,1.975726393
20,2022-06-19T09:14:14Z,Asphalt_Paver_1,Engine,Oil Pressure,28.97459797
42,2022-06-19T14:49:37Z,Asphalt_Paver_1,Drive,Pedal Sensor,3.785518993
26,2022-06-19T16:20:55Z,Asphalt_Paver_1,Fuel,Level,10.0169573
3,2022-06-20T17:14:49Z,Asphalt_Paver_1,Engine,Oil Pressure,57.93198682
19,2022-06-20T18:03:11Z,Asphalt_Paver_1,Misc,Hydraulic Pump Rate,84.05892852
36,2022-06-20T19:53:54Z,Asphalt_Paver_1,Engine,Oil Pressure,33.96241082
27,2022-06-21T17:05:44Z,Asphalt_Paver_1,Engine,Speed,1593.98275
19,2022-06-22T03:16:50Z,Asphalt_Paver_1,Drive,Brake Control,6.79679128
46,2022-06-22T05:57:27Z,Asphalt_Paver_1,Misc,Exhaust Gas Temparature,294.938253
11,2022-06-22T09:19:59Z,Asphalt_Paver_1,Drive,Transmission Pressure,437.0416075
8,2022-06-22T10:24:37Z,Asphalt_Paver_1,Drive,Brake Control,10.26567378
34,2022-06-23T09:07:45Z,Asphalt_Paver_1,Drive,Transmission Pressure,386.8924384
41,2022-06-23T14:04:08Z,Asphalt_Paver_1,Misc,System Voltage,15.00954061
7,2022-06-23T22:04:30Z,Asphalt_Paver_1,Drive,Pedal Sensor,3.028721201
49,2022-06-24T06:33:28Z,Asphalt_Paver_1,Fuel,Pressure,60.91966107
37,2022-06-24T08:48:18Z,Asphalt_Paver_1,Drive,Brake Control,4.99287843
2,2022-06-24T19:49:46Z,Asphalt_Paver_1,Drive,Transmission Pressure,281.0750239
50,2022-06-24T22:02:12Z,Asphalt_Paver_1,Drive,Transmission Pressure,232.0090796
36,2022-06-25T03:09:34Z,Asphalt_Paver_1,Drive,Brake Control,2.054186021
15,2022-06-25T06:47:25Z,Asphalt_Paver_1,Drive,Transmission Pressure,306.076399
44,2022-06-25T19:08:58Z,Asphalt_Paver_1,Drive,Pedal Sensor,4.50645195
15,2022-06-25T22:53:21Z,Asphalt_Paver_1,Fuel,Temparature,290.9632057
24,2022-06-26T09:29:43Z,Asphalt_Paver_1,Misc,Air Filter Pressure,32.01113551
3,2022-06-26T12:12:38Z,Asphalt_Paver_1,Drive,Pedal Sensor,3.149362122
45,2022-06-26T13:36:30Z,Asphalt_Paver_1,Drive,Transmission Pressure,303.096443
44,2022-06-26T15:25:15Z,Asphalt_Paver_1,Misc,Air Filter Pressure,22.12250148
38,2022-06-27T02:53:27Z,Asphalt_Paver_1,Misc,Exhaust Gas Temparature,236.9080676
18,2022-06-27T08:56:16Z,Asphalt_Paver_1,Fuel,Level,5.950169836
3,2022-06-27T22:52:54Z,Asphalt_Paver_1,Fuel,Temparature,393.8333195
5,2022-06-27T23:12:14Z,Asphalt_Paver_1,Drive,Pedal Sensor,3.926493697
44,2022-06-28T02:12:26Z,Asphalt_Paver_1,Fuel,Temparature,382.9236998
6,2022-06-28T02:42:28Z,Asphalt_Paver_1,Fuel,Level,0.99477395
40,2022-06-28T18:02:23Z,Asphalt_Paver_1,Engine,Temparature,81.04438635
6,2022-06-28T18:25:33Z,Asphalt_Paver_1,Drive,Transmission Pressure,331.9866072
36,2022-06-29T00:33:59Z,Asphalt_Paver_1,Misc,Air Filter Pressure,20.18627057
18,2022-06-29T16:29:54Z,Asphalt_Paver_1,Misc,Exhaust Gas Temparature,263.0043331
43,2022-06-29T16:52:23Z,Asphalt_Paver_1,Fuel,Level,7.111777438
28,2022-06-29T20:00:46Z,Asphalt_Paver_1,Misc,Air Filter Pressure,23.06962187
4,2022-06-30T14:09:21Z,Asphalt_Paver_1,Misc,Air Filter Pressure,26.17447281
14,2022-06-30T14:47:40Z,Asphalt_Paver_1,Misc,Exhaust Gas Temparature,195.0848058
48,2022-10-23 08:09:29+00:00,Excavator_1,Engine,Temparature,104
5,2022-10-01 02:05:42+00:00,Articulated_Truck_1,Fuel,Water in Fuel,70
24,2022-10-16 06:25:04+00:00,Articulated_Truck_1,Engine,Temparature,104
23,2022-10-01 20:36:47+00:00,Backhoe_Loader_1,Drive,Transmission Pressure,231
42,2022-11-17 04:06:30+00:00,Excavator_1,Engine,Oil Pressure,39
44,2022-11-04 17:30:33+00:00,Dozer_1,Fuel,Temparature,215
37,2022-11-14 15:39:58+00:00,Backhoe_Loader_1,Fuel,Temparature,202
1,2022-11-17 01:17:39+00:00,Articulated_Truck_1,Drive,Brake Control,2
39,2022-10-02 03:23:02+00:00,Excavator_1,Drive,Pedal Sensor,4.533982406
26,2022-10-29 02:21:39+00:00,Articulated_Truck_1,Drive,Pedal Sensor,3.9
2,2022-10-21 21:02:41+00:00,Articulated_Truck_1,Misc,Exhaust Gas Temparature,190
34,2022-09-25 19:46:07+00:00,Excavator_1,Misc,Exhaust Gas Temparature,195
47,2022-10-19 09:02:29+00:00,Articulated_Truck_1,Drive,Brake Control,2
44,2022-10-27 20:54:38+00:00,Backhoe_Loader_1,Drive,Pedal Sensor,3.056436805
32,2022-11-05 19:53:48+00:00,Excavator_1,Misc,Air Filter Pressure,34
25,2022-09-28 10:36:00+00:00,Excavator_1,Misc,System Voltage,12.4112528
22,2022-09-27 10:33:05+00:00,Dozer_1,Misc,Exhaust Gas Temparature,332
9,2022-09-29 09:05:26+00:00,Dozer_1,Fuel,Water in Fuel,1315
6,2022-10-15 15:48:32+00:00,Backhoe_Loader_1,Engine,Oil Pressure,51
20,2022-09-27 17:09:11+00:00,Articulated_Truck_1,Engine,Oil Pressure,55
47,2022-10-28 00:46:47+00:00,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,91
12,2022-11-02 09:02:11+00:00,Articulated_Truck_1,Engine,Speed,1345
4,2022-10-27 03:43:41+00:00,Excavator_1,Drive,Transmission Pressure,263
42,2022-11-16 03:29:55+00:00,Excavator_1,Misc,Exhaust Gas Temparature,312
5,2022-11-12 11:02:43+00:00,Articulated_Truck_1,Engine,Speed,1750
45,2022-09-30 13:16:32+00:00,Excavator_1,Engine,Speed,1779
33,2022-10-09 02:50:20+00:00,Backhoe_Loader_1,Drive,Pedal Sensor,4.762040191
14,2022-10-01 15:06:55+00:00,Backhoe_Loader_1,Fuel,Level,6
25,2022-11-14 11:08:14+00:00,Backhoe_Loader_1,Drive,Transmission Pressure,262
2,2022-10-28 20:46:11+00:00,Excavator_1,Misc,Exhaust Gas Temparature,304
7,2022-10-23 19:01:05+00:00,Articulated_Truck_1,Drive,Pedal Sensor,3.9
43,2022-10-11 11:05:17+00:00,Articulated_Truck_1,Engine,Speed,1590
3,2022-11-01 06:40:10+00:00,Backhoe_Loader_1,Engine,Oil Pressure,30
3,2022-10-26 06:35:59+00:00,Backhoe_Loader_1,Drive,Pedal Sensor,4.827011927
47,2022-10-17 20:46:27+00:00,Articulated_Truck_1,Misc,Hydraulic Pump Rate,109
13,2022-09-30 03:11:53+00:00,Excavator_1,Drive,Transmission Pressure,403
1,2022-09-26 09:44:50+00:00,Dozer_1,Engine,Speed,1580
34,2022-11-16 04:19:39+00:00,Excavator_1,Drive,Transmission Pressure,203
28,2022-09-28 15:57:35+00:00,Excavator_1,Fuel,Pressure,44
7,2022-09-21 15:33:29+00:00,Articulated_Truck_1,Fuel,Temparature,0
22,2022-10-17 05:24:46+00:00,Dozer_1,Engine,Oil Pressure,48
34,2022-10-30 23:04:57+00:00,Backhoe_Loader_1,Engine,Speed,1434
44,2022-10-09 08:34:29+00:00,Articulated_Truck_1,Drive,Pedal Sensor,4.6
45,2022-10-06 04:51:58+00:00,Dozer_1,Misc,System Voltage,12.24607278
19,2022-10-24 13:31:15+00:00,Dozer_1,Engine,Speed,1665
30,2022-10-31 21:31:15+00:00,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,198
31,2022-11-02 13:46:42+00:00,Excavator_1,Engine,Oil Pressure,29
17,2022-11-06 05:25:02+00:00,Articulated_Truck_1,Drive,Brake Control,2
20,2022-10-15 06:06:30+00:00,Dozer_1,Drive,Brake Control,10
22,2022-09-28 02:05:21+00:00,Backhoe_Loader_1,Drive,Pedal Sensor,3.142043207
34,2022-10-02 20:51:45+00:00,Dozer_1,Drive,Transmission Pressure,249
31,2022-11-03 21:59:05+00:00,Excavator_1,Fuel,Water in Fuel,413
21,2022-10-23 01:26:34+00:00,Backhoe_Loader_1,Fuel,Water in Fuel,1300
27,2022-09-28 05:13:41+00:00,Dozer_1,Drive,Brake Control,1
26,2022-10-27 19:41:35+00:00,Excavator_1,Engine,Temparature,93
6,2022-10-16 23:46:46+00:00,Dozer_1,Drive,Transmission Pressure,222
42,2022-11-06 22:02:34+00:00,Excavator_1,Fuel,Water in Fuel,1047
29,2022-11-16 20:22:38+00:00,Dozer_1,Fuel,Water in Fuel,371
38,2022-10-07 18:36:54+00:00,Dozer_1,Engine,Speed,1724
31,2022-09-24 23:19:11+00:00,Backhoe_Loader_1,Drive,Pedal Sensor,4.557899218
21,2022-11-16 13:06:53+00:00,Excavator_1,Drive,Transmission Pressure,374
7,2022-11-16 21:18:03+00:00,Backhoe_Loader_1,Fuel,Temparature,225
32,2022-10-17 10:16:16+00:00,Articulated_Truck_1,Misc,Air Filter Pressure,35
17,2022-11-16 23:49:20+00:00,Backhoe_Loader_1,Fuel,Water in Fuel,1230
19,2022-10-10 12:46:28+00:00,Excavator_1,Misc,Hydraulic Pump Rate,96
40,2022-10-01 04:55:54+00:00,Articulated_Truck_1,Misc,Air Filter Pressure,36
39,2022-10-24 02:56:03+00:00,Dozer_1,Fuel,Water in Fuel,348
17,2022-09-28 05:29:27+00:00,Backhoe_Loader_1,Drive,Brake Control,2
3,2022-09-26 16:15:39+00:00,Excavator_1,Engine,Oil Pressure,59
6,2022-11-17 13:49:14+00:00,Dozer_1,Engine,Oil Pressure,61
10,2022-09-28 09:14:01+00:00,Articulated_Truck_1,Engine,Speed,1800
23,2022-10-19 05:05:19+00:00,Excavator_1,Engine,Speed,1593
6,2022-09-25 05:00:42+00:00,Excavator_1,Drive,Transmission Pressure,255
33,2022-11-07 12:26:52+00:00,Articulated_Truck_1,Misc,System Voltage,15.1
48,2022-11-14 16:29:17+00:00,Dozer_1,Engine,Temparature,104
47,2022-10-13 05:15:47+00:00,Dozer_1,Drive,Brake Control,3
23,2022-11-15 09:05:19+00:00,Excavator_1,Fuel,Temparature,300
4,2022-10-11 23:13:12+00:00,Excavator_1,Fuel,Pressure,43
35,2022-10-26 11:23:40+00:00,Articulated_Truck_1,Fuel,Water in Fuel,144
40,2022-10-01 07:55:15+00:00,Excavator_1,Engine,Temparature,75
15,2022-11-02 06:03:10+00:00,Dozer_1,Drive,Transmission Pressure,253
46,2022-09-22 22:05:15+00:00,Dozer_1,Misc,Exhaust Gas Temparature,291
45,2022-11-10 16:34:04+00:00,Backhoe_Loader_1,Misc,System Voltage,14.7807631
10,2022-10-16 15:05:19+00:00,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,354
23,2022-11-14 08:31:34+00:00,Dozer_1,Drive,Transmission Pressure,450
31,2022-11-10 14:37:28+00:00,Articulated_Truck_1,Misc,Hydraulic Pump Rate,118
6,2022-10-23 18:21:34+00:00,Excavator_1,Fuel,Level,10
25,2022-11-03 01:45:54+00:00,Dozer_1,Drive,Transmission Pressure,435
28,2022-10-21 18:40:22+00:00,Dozer_1,Fuel,Pressure,54
36,2022-11-19 05:14:36+00:00,Backhoe_Loader_1,Drive,Brake Control,4
19,2022-10-05 16:26:30+00:00,Excavator_1,Drive,Brake Control,8
21,2022-10-26 19:04:15+00:00,Excavator_1,Engine,Speed,1712
44,2022-11-05 04:04:33+00:00,Excavator_1,Misc,Air Filter Pressure,31
20,2022-11-10 14:25:38+00:00,Dozer_1,Engine,Oil Pressure,54
43,2022-10-18 10:08:51+00:00,Articulated_Truck_1,Drive,Transmission Pressure,300
4,2022-10-05 08:00:59+00:00,Dozer_1,Engine,Temparature,89
42,2022-09-28 09:11:26+00:00,Dozer_1,Fuel,Water in Fuel,1179
45,2022-11-15 05:57:26+00:00,Articulated_Truck_1,Drive,Transmission Pressure,369
19,2022-11-09 13:46:58+00:00,Articulated_Truck_1,Engine,Speed,1650
8,2022-09-24 11:01:26+00:00,Dozer_1,Misc,Air Filter Pressure,21
24,2022-09-23 04:55:48+00:00,Excavator_1,Fuel,Pressure,37
40,2022-10-29 16:33:46+00:00,Backhoe_Loader_1,Engine,Temparature,93
36,2022-10-04 14:06:56+00:00,Dozer_1,Misc,Air Filter Pressure,26
23,2022-10-29 23:05:39+00:00,Articulated_Truck_1,Drive,Transmission Pressure,321
50,2022-10-26 13:37:24+00:00,Dozer_1,Misc,Exhaust Gas Temparature,300
47,2022-11-03 04:29:38+00:00,Dozer_1,Misc,Hydraulic Pump Rate,119
10,2022-11-08 18:36:52+00:00,Excavator_1,Engine,Speed,1760
14,2022-11-09 09:17:11+00:00,Articulated_Truck_1,Fuel,Level,9
25,2022-09-21 17:27:26+00:00,Backhoe_Loader_1,Misc,System Voltage,14.35420941
45,2022-10-02 23:56:07+00:00,Excavator_1,Fuel,Pressure,37
22,2022-11-10 03:15:52+00:00,Articulated_Truck_1,Misc,Exhaust Gas Temparature,210
47,2022-10-23 00:49:50+00:00,Backhoe_Loader_1,Engine,Oil Pressure,26
28,2022-09-27 10:59:39+00:00,Backhoe_Loader_1,Drive,Brake Control,2
4,2022-10-25 00:21:58+00:00,Excavator_1,Misc,Air Filter Pressure,22
13,2022-10-30 15:00:35+00:00,Backhoe_Loader_1,Engine,Temparature,79
20,2022-11-03 12:34:19+00:00,Backhoe_Loader_1,Misc,Air Filter Pressure,23
16,2022-11-11 02:38:08+00:00,Backhoe_Loader_1,Engine,Speed,1744
29,2022-11-11 14:04:56+00:00,Articulated_Truck_1,Misc,System Voltage,13.3
23,2022-09-28 15:32:27+00:00,Backhoe_Loader_1,Engine,Speed,1422
21,2022-10-18 16:46:08+00:00,Articulated_Truck_1,Misc,System Voltage,14.7
31,2022-10-05 23:49:29+00:00,Backhoe_Loader_1,Fuel,Water in Fuel,393
50,2022-10-27 09:20:30+00:00,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,199
24,2022-10-22 22:34:24+00:00,Dozer_1,Misc,Air Filter Pressure,20
13,2022-10-24 18:32:04+00:00,Dozer_1,Fuel,Water in Fuel,231
29,2022-10-03 13:38:51+00:00,Backhoe_Loader_1,Engine,Temparature,87
28,2022-10-27 12:07:56+00:00,Articulated_Truck_1,Misc,Air Filter Pressure,33
31,2022-10-13 09:35:36+00:00,Excavator_1,Misc,Hydraulic Pump Rate,102
49,2022-10-22 02:02:04+00:00,Excavator_1,Drive,Brake Control,7
19,2022-10-24 19:05:47+00:00,Excavator_1,Fuel,Temparature,295
24,2022-11-19 05:18:25+00:00,Backhoe_Loader_1,Misc,Air Filter Pressure,23
26,2022-10-26 02:45:28+00:00,Dozer_1,Engine,Temparature,89
45,2022-10-27 19:16:44+00:00,Backhoe_Loader_1,Engine,Speed,1398
32,2022-10-07 07:43:11+00:00,Backhoe_Loader_1,Drive,Transmission Pressure,377
9,2022-11-05 18:04:01+00:00,Articulated_Truck_1,Drive,Brake Control,3
48,2022-09-25 18:11:27+00:00,Articulated_Truck_1,Fuel,Temparature,0
31,2022-11-07 12:33:03+00:00,Dozer_1,Engine,Oil Pressure,50
27,2022-11-16 14:43:40+00:00,Articulated_Truck_1,Misc,Hydraulic Pump Rate,119
7,2022-11-08 05:59:36+00:00,Dozer_1,Misc,Hydraulic Pump Rate,119
14,2022-10-10 20:03:16+00:00,Articulated_Truck_1,Misc,Exhaust Gas Temparature,265
2,2022-10-21 06:08:22+00:00,Dozer_1,Drive,Transmission Pressure,337
29,2022-11-09 12:34:34+00:00,Backhoe_Loader_1,Fuel,Water in Fuel,1785
21,2022-11-01 05:42:56+00:00,Dozer_1,Engine,Speed,1398
14,2022-10-18 13:59:44+00:00,Dozer_1,Engine,Oil Pressure,50
24,2022-11-12 02:05:25+00:00,Dozer_1,Engine,Temparature,95
25,2022-10-07 23:31:09+00:00,Backhoe_Loader_1,Engine,Oil Pressure,55
5,2022-11-13 17:00:51+00:00,Dozer_1,Engine,Speed,1456
22,2022-10-23 22:35:39+00:00,Backhoe_Loader_1,Engine,Oil Pressure,39
15,2022-11-03 16:03:35+00:00,Articulated_Truck_1,Engine,Temparature,100
27,2022-10-29 15:48:46+00:00,Articulated_Truck_1,Fuel,Temparature,0
8,2022-10-07 16:12:39+00:00,Backhoe_Loader_1,Misc,Air Filter Pressure,27
46,2022-09-20 06:33:20+00:00,Backhoe_Loader_1,Misc,Exhaust Gas Temparature,297
9,2022-11-07 10:48:23+00:00,Articulated_Truck_1,Engine,Oil Pressure,64
12,2022-10-01 21:22:48+00:00,Excavator_1,Fuel,Pressure,35
14,2022-10-17 05:42:44+00:00,Dozer_1,Fuel,Level,6
18,2022-09-28 01:20:26+00:00,Dozer_1,Fuel,Level,3
41,2022-09-29 04:13:09+00:00,Dozer_1,Fuel,Level,5
5,2022-11-08 00:00:52+00:00,Backhoe_Loader_1,Fuel,Water in Fuel,125
43,2022-10-16 18:46:04+00:00,Dozer_1,Fuel,Level,2
29,2022-09-29 05:58:45+00:00,Backhoe_Loader_1,Drive,Brake Control,8
5,2022-10-18 00:32:05+00:00,Excavator_1,Drive,Pedal Sensor,3.726178894
21,2022-10-26 17:28:15+00:00,Backhoe_Loader_1,Drive,Transmission Pressure,404
46,2022-10-17 12:10:01+00:00,Dozer_1,Drive,Pedal Sensor,4.984918787
38,2022-10-23 14:43:07+00:00,Excavator_1,Misc,Exhaust Gas Temparature,348
23,2022-11-10 05:32:11+00:00,Backhoe_Loader_1,Misc,Hydraulic Pump Rate,96
1,2022-10-01 09:47:44+00:00,Articulated_Truck_1,Engine,Speed,1700
12,2022-10-03 09:28:28+00:00,Excavator_1,Drive,Pedal Sensor,4.54230551
3,2022-10-04 18:09:14+00:00,Dozer_1,Fuel,Temparature,298
40,2022-09-30 14:11:38+00:00,Excavator_1,Misc,Air Filter Pressure,20
40,2022-11-04 17:27:20+00:00,Backhoe_Loader_1,Misc,Air Filter Pressure,23
11,2022-09-25 16:01:26+00:00,Articulated_Truck_1,Misc,Hydraulic Pump Rate,110
5,2022-11-09 12:05:53+00:00,Excavator_1,Misc,System Voltage,13.76061245
16,2022-10-12 01:33:32+00:00,Articulated_Truck_1,Engine,Speed,1455
35,2022-09-22 17:36:01+00:00,Excavator_1,Misc,Hydraulic Pump Rate,120
28,2022-10-08 19:47:20+00:00,Excavator_1,Misc,Air Filter Pressure,35
46,2022-11-19 03:37:30+00:00,Dozer_1,Engine,Temparature,89
20,2022-10-14 02:23:13+00:00,Excavator_1,Fuel,Pressure,45
7,2022-10-17 23:52:38+00:00,Articulated_Truck_1,Engine,Temparature,80
45,2022-10-14 09:44:21+00:00,Backhoe_Loader_1,Fuel,Pressure,44
44,2022-09-24 09:52:26+00:00,Backhoe_Loader_1,Misc,Air Filter Pressure,29
20,2022-10-29 03:52:58+00:00,Articulated_Truck_1,Fuel,Pressure,62
3,2022-10-21 18:55:45+00:00,Articulated_Truck_1,Engine,Oil Pressure,60
7,2022-10-03 13:26:37+00:00,Excavator_1,Misc,Hydraulic Pump Rate,92
16,2022-10-06 20:48:22+00:00,Dozer_1,Misc,Air Filter Pressure,31
25,2022-11-06 23:54:14+00:00,Articulated_Truck_1,Misc,System Voltage,14.9
18,2022-10-05 21:44:23+00:00,Backhoe_Loader_1,Engine,Temparature,93
11,2022-09-25 20:00:16+00:00,Excavator_1,Drive,Transmission Pressure,443
15,2022-10-01 03:24:44+00:00,Dozer_1,Misc,Hydraulic Pump Rate,111
10,2022-10-16 18:48:48+00:00,Backhoe_Loader_1,Drive,Brake Control,9
18,2022-11-01 14:23:46+00:00,Dozer_1,Drive,Brake Control,2
50,2022-10-13 13:05:02+00:00,Dozer_1,Drive,Transmission Pressure,444
6,2022-11-18 02:58:38+00:00,Articulated_Truck_1,Drive,Transmission Pressure,375
19,2022-11-09 02:33:46+00:00,Backhoe_Loader_1,Engine,Speed,1666
19,2022-11-13 02:03:36+00:00,Articulated_Truck_1,Drive,Brake Control,4
17,2022-10-26 23:08:28+00:00,Dozer_1,Fuel,Water in Fuel,1210
30,2022-10-02 08:52:53+00:00,Dozer_1,Misc,Exhaust Gas Temparature,353
11,2022-11-17 19:18:20+00:00,Articulated_Truck_1,Fuel,Temparature,0
10,2022-11-13 09:38:45+00:00,Articulated_Truck_1,Fuel,Level,9
37,2022-11-12 05:33:32+00:00,Excavator_1,Engine,Temparature,92
50,2022-11-10 13:02:07+00:00,Dozer_1,Engine,Oil Pressure,64
20,2022-11-17 05:59:38+00:00,Backhoe_Loader_1,Drive,Brake Control,9
